better,28418,53.38,adj.更好的
politics,28514,53.56,n.政治学，政治活动
future,28561,53.65,n.将来，前途
visa,28584,53.69,n.签证
you,28607,53.74,pron.你，你们
very,28630,53.78,adv.很，非常
during,28653,53.82,prep.在...期间
keep,28676,53.87,v.保持，保留，防止
need,28699,53.91,n.需要，贫困
yet,28745,54.0,adv.仍然，还，尚
according,28791,54.08,adj.按照，据...说
among,28814,54.13,prep.在...之中
money,28837,54.17,n.金钱，货币，财富
financial,28882,54.25,adj.金融的，财政的
say,28904,54.29,v.说
hey,28926,54.34,int.嗨
last,28948,54.38,adj.最后的
global,28970,54.42,adj.全世界的，总的
while,29014,54.5,n.一会儿
demand,29080,54.62,v.，n.要求，需求
army,29102,54.67,n.军队，陆军
across,29124,54.71,prep.横越
different,29146,54.75,adj.不同的，各种
late,29168,54.79,adj.迟到的，晚的
election,29212,54.87,n.选举
found,29234,54.91,v.创办，使有根据
means,29319,55.07,n.手段，财力
early,29340,55.11,adj.早的，初期的
go,29403,55.23,v.去，进行，打算
home,29424,55.27,n.家，故乡
policy,29445,55.31,n.政策，方针，保险单
think,29466,55.35,v.想，相信，认为
trade,29508,55.43,n.贸易，交换
whether,29529,55.47,conj.是否，还是...
second,29549,55.51,num.第二
decade,29629,55.66,n.十年
start,29649,55.69,v.开始，着手，发动
nearly,29689,55.77,adv.几乎，差不多
once,29709,55.81,adv.一度，一次
cut,29729,55.84,v.割，切，削减，切断
use,29749,55.88,v.使用
risk,29769,55.92,n.，v.冒险，风险
free,29789,55.96,adj.自由的，空闲的
recently,29809,55.99,adv.近来，最近
possible,29828,56.03,adj.可能的
city,29866,56.1,n.城市
week,29885,56.14,n.星期，周，工作周
number,29904,56.17,n.数字，若干，号码
sex,29923,56.21,n.性，性别
price,29942,56.24,n.价格，代价
