goods,n.货物，商品 
thousands,没有该单词的解释 
beyond,prep.在...那边，超出 
english,n.,adj.英国的，英语 
told,没有该单词的解释 
efforts,没有该单词的解释 
sell,v.卖，出售 
supply,v.供应，供给 
indicators,没有该单词的解释 
numbers,没有该单词的解释 
above,prep.在...之上，高于 
terms,没有该单词的解释 
programme,没有该单词的解释 
taxes,没有该单词的解释 
intelligence,n.智慧，情报 
looking,没有该单词的解释 
changes,没有该单词的解释 
account,n.账目 v.说明 
candidate,n.候选人 
killed,没有该单词的解释 
calls,没有该单词的解释 
increasingly,adv.日益，越来越 
infrastructure,没有该单词的解释 
secretary,n.秘书，部长，书记 
us,pron.我们(宾格) 
indian,adj.,n.印度人(的) 
here,adv.这里，在这里 
fell,v.砍到 
letters,没有该单词的解释 
talk,v.谈话 n.讲话，会谈 
area,n.地区，面积，领域 
worse,adj.更坏的，更差的 
sometimes,adv.有时，不时 
total,adj.总 n.总和，合计 
create,v.创造，创作，造成 
