not,21215,30.37
its,20888,30.78
at,20359,31.18
an,20334,31.57
they,20220,31.97
more,19201,32.34
their,18464,32.70
his,18423,33.06
will,17123,33.40
which,15007,33.69
than,14183,33.96
one,13422,34.23
would,12994,34.48
or,12568,34.72
who,12348,34.97
up,11739,35.19
new,11244,35.41
been,10714,35.62
may,10098,35.82
next,9826,36.01
some,9824,36.20
th,9817,36.39
had,9782,36.58
were,9706,36.77
about,9551,36.96
year,9536,37.15
can,9154,37.32
such,9052,37.50
out,9044,37.68
all,8995,37.85
if,8807,38.02
says,8753,38.19
so,8710,38.36
when,8622,38.53
government,8395,38.70
also,8375,38.86
them,8335,39.02
most,8313,39.18
other,8185,39.34
many,8164,39.50
over,8115,39.66
people,7954,39.82
years,7560,39.96
article,7490,40.11
there,7470,40.26
now,7470,40.40
into,7310,40.54
only,7143,40.68
after,7132,40.82
two,7024,40.96
no,7007,41.10
could,6939,41.23
even,6921,41.37
previous,6489,41.49
first,6279,41.61
what,6226,41.74
articles,6082,41.85
sections,6001,41.97
much,5898,42.09
china,5801,42.20
like,5733,42.31
do,5691,42.42
america,5689,42.53
those,5624,42.64
time,5610,42.75
print,5559,42.86
her,5521,42.97
state,5503,43.08
edition,5463,43.18
since,5451,43.29
last,5429,43.39
world,5419,43.50
american,5402,43.61
just,5273,43.71
party,5002,43.81
she,4992,43.90
trump,4990,44.00
how,4961,44.10
yet,4922,44.19
still,4780,44.29
see,4734,44.38
between,4722,44.47
make,4715,44.56
firms,4694,44.65
downloaded,4684,44.75
calibre,4683,44.84
too,4637,44.93
countries,4626,45.02
these,4602,45.11
president,4535,45.20
m,4497,45.28
n,4478,45.37
under,4399,45.46
less,4398,45.54
big,4362,45.63
because,4308,45.71
long,4249,45.79
menu,4224,45.88
should,4189,45.96
business,4134,46.04
trade,4073,46.12
country,4071,46.20
where,4067,46.28
might,4022,46.36
against,4009,46.43
way,4008,46.51
britain,4004,46.59
well,3978,46.67
said,3828,46.74
section,3810,46.82
before,3804,46.89
market,3787,46.96
power,3759,47.04
made,3741,47.11
another,3703,47.18
him,3699,47.25
work,3698,47.33
main,3690,47.40
political,3622,47.47
both,3620,47.54
down,3561,47.61
economic,3543,47.68
european,3531,47.75
eu,3507,47.82
then,3495,47.88
economy,3493,47.95
any,3488,48.02
you,3452,48.09
being,3451,48.15
three,3449,48.22
around,3445,48.29
off,3432,48.36
back,3371,48.42
south,3359,48.49
own,3359,48.55
public,3353,48.62
states,3346,48.68
bank,3311,48.75
though,3298,48.81
take,3181,48.87
foreign,3178,48.94
far,3123,49.00
banks,3085,49.06
chinese,3041,49.12
national,3039,49.18
through,3027,49.23
companies,3019,49.29
money,3015,49.35
financial,3010,49.41
election,2998,49.47
high,2994,49.53
few,2984,49.59
better,2966,49.64
americas,2954,49.70
s,2913,49.76
get,2912,49.81
part,2902,49.87
minister,2901,49.93
war,2865,49.98
firm,2825,50.04
often,2794,50.09
does,2782,50.15
europe,2760,50.20
we,2754,50.25
past,2735,50.31
system,2728,50.36
good,2687,50.41
right,2674,50.47
billion,2656,50.52
little,2645,50.57
become,2645,50.62
same,2638,50.67
brexit,2624,50.72
second,2621,50.77
used,2620,50.83
ms,2600,50.88
oil,2591,50.93
old,2587,50.98
did,2584,51.03
week,2582,51.08
deal,2579,51.13
help,2549,51.18
tax,2547,51.23
free,2542,51.28
growth,2538,51.33
technology,2536,51.38
capital,2536,51.43
use,2534,51.48
university,2528,51.52
among,2517,51.57
hard,2515,51.62
data,2510,51.67
policy,2499,51.72
global,2499,51.77
governments,2498,51.82
say,2492,51.87
city,2469,51.91
end,2468,51.96
already,2437,52.01
change,2436,52.06
including,2413,52.10
former,2409,52.15
local,2406,52.20
law,2404,52.25
recent,2403,52.29
home,2372,52.34
need,2371,52.38
without,2370,52.43
british,2358,52.48
half,2344,52.52
called,2340,52.57
go,2330,52.61
left,2324,52.66
group,2321,52.70
pay,2309,52.75
once,2289,52.79
prices,2287,52.84
biggest,2272,52.88
chinas,2254,52.93
rather,2252,52.97
think,2246,53.01
rates,2245,53.06
central,2238,53.10
day,2225,53.14
i,2224,53.19
politics,2219,53.23
found,2202,53.27
east,2197,53.32
likely,2194,53.36
number,2190,53.40
markets,2188,53.45
small,2187,53.49
company,2186,53.53
ago,2162,53.57
least,2148,53.61
almost,2145,53.66
social,2136,53.70
must,2136,53.74
according,2132,53.78
set,2121,53.82
each,2115,53.86
others,2107,53.91
come,2105,53.95
vote,2099,53.99
interest,2095,54.03
international,2091,54.07
while,2072,54.11
workers,2067,54.15
low,2063,54.19
north,2048,54.23
run,2037,54.27
prime,2034,54.31
jobs,2028,54.35
put,2020,54.39
investment,1997,54.43
industry,1988,54.47
making,1986,54.50
cost,1986,54.54
voters,1979,54.58
support,1973,54.62
labour,1966,54.66
life,1945,54.70
rate,1942,54.73
v,1932,54.77
however,1925,54.81
price,1921,54.85
security,1918,54.88
whether,1903,54.92
five,1899,54.96
want,1890,55.00
four,1879,55.03
investors,1876,55.07
things,1875,55.10
every,1868,55.14
why,1867,55.18
across,1864,55.21
africa,1862,55.25
during,1853,55.29
example,1843,55.32
best,1838,55.36
rules,1836,55.39
campaign,1830,55.43
court,1819,55.47
share,1810,55.50
house,1806,55.54
young,1804,55.57
times,1800,55.61
police,1796,55.64
mrs,1793,55.68
leaders,1793,55.71
keep,1790,55.75
future,1780,55.78
private,1775,55.82
health,1773,55.85
months,1772,55.88
worlds,1771,55.92
third,1771,55.95
services,1767,55.99
enough,1761,56.02
crisis,1749,56.06
women,1734,56.09
countrys,1730,56.12
trumps,1729,56.16
place,1728,56.19
children,1705,56.22
problem,1704,56.26
known,1704,56.29
different,1703,56.32
month,1698,56.36
britains,1697,56.39
find,1695,56.42
bn,1685,56.46
case,1681,56.49
term,1680,56.52
russia,1675,56.55
control,1675,56.59
adj,1674,56.62
ever,1672,56.65
days,1671,56.68
large,1667,56.72
away,1653,56.75
based,1651,56.78
early,1649,56.81
london,1644,56.85
office,1640,56.88
middle,1634,56.91
quantum,1632,56.94
seems,1627,56.97
never,1626,57.01
point,1622,57.04
donald,1618,57.07
makes,1613,57.10
research,1610,57.13
union,1601,57.16
very,1588,57.19
rich,1583,57.22
poor,1582,57.25
centre,1575,57.29
united,1572,57.32
growing,1568,57.35
until,1560,57.38
working,1559,57.41
ones,1551,57.44
gdp,1550,57.47
higher,1549,57.50
within,1546,57.53
again,1545,57.56
means,1541,57.59
spending,1538,57.62
rise,1536,57.65
perhaps,1534,57.68
members,1533,57.71
several,1531,57.74
leader,1529,57.77
itself,1529,57.80
appeared,1512,57.83
anti,1503,57.86
west,1501,57.89
recently,1494,57.92
energy,1484,57.94
given,1483,57.97
general,1482,58.00
cut,1461,58.03
took,1458,58.06
instead,1448,58.09
school,1438,58.11
our,1433,58.14
led,1432,58.17
demand,1428,58.20
later,1427,58.23
came,1426,58.25
risk,1424,58.28
great,1424,58.31
real,1423,58.34
nearly,1422,58.37
although,1420,58.39
themselves,1417,58.42
finance,1415,58.45
start,1407,58.48
whose,1401,58.50
average,1401,58.53
turn,1393,58.56
idea,1389,58.58
human,1388,58.61
job,1386,58.64
white,1385,58.67
men,1385,58.69
economics,1385,58.72
look,1383,58.75
officials,1382,58.77
head,1377,58.80
open,1370,58.83
report,1364,58.85
using,1363,58.88
wants,1362,58.91
budget,1362,58.93
history,1358,58.96
chief,1354,58.99
march,1352,59.01
media,1349,59.04
costs,1349,59.07
care,1345,59.09
man,1343,59.12
plans,1342,59.14
politicians,1339,59.17
economist,1339,59.20
rights,1338,59.22
online,1338,59.25
leave,1336,59.27
western,1334,59.30
exchange,1334,59.33
education,1332,59.35
single,1331,59.38
cities,1330,59.40
having,1329,59.43
give,1329,59.46
further,1329,59.48
short,1320,59.51
french,1319,59.53
forces,1315,59.56
republican,1314,59.58
show,1305,59.61
longer,1305,59.64
groups,1305,59.66
going,1304,59.69
family,1298,59.71
today,1296,59.74
germany,1294,59.76
india,1286,59.79
important,1282,59.81
building,1282,59.84
water,1279,59.86
lower,1271,59.89
cannot,1271,59.91
plan,1268,59.94
order,1267,59.96
value,1265,59.99
outside,1264,60.01
bad,1257,60.03
nuclear,1253,60.06
century,1253,60.08
something,1249,60.11
decades,1249,60.13
seen,1244,60.16
ten,1238,60.18
federal,1234,60.20
despite,1234,60.23
france,1233,60.25
face,1230,60.28
opposition,1226,60.30
russian,1224,60.32
income,1224,60.35
non,1223,60.37
six,1221,60.40
democratic,1221,60.42
debt,1219,60.44
problems,1218,60.47
your,1216,60.49
service,1216,60.51
hours,1210,60.54
chart,1209,60.56
result,1203,60.59
done,1202,60.61
air,1201,60.63
buy,1197,60.66
close,1196,60.68
presidential,1194,60.70
similar,1192,60.73
needs,1190,60.75
americans,1189,60.77
top,1187,60.80
force,1184,60.82
book,1180,60.84
population,1176,60.86
january,1170,60.89
able,1170,60.91
clear,1169,60.93
cash,1169,60.96
behind,1169,60.98
land,1168,61.00
reason,1159,61.02
clinton,1158,61.05
black,1158,61.07
move,1156,61.09
co,1156,61.11
trying,1155,61.14
towards,1155,61.16
probably,1151,61.18
decade,1151,61.20
parties,1149,61.23
lost,1149,61.25
headline,1149,61.27
asia,1149,61.29
military,1148,61.32
taking,1145,61.34
seem,1145,61.36
legal,1144,61.38
taken,1141,61.40
held,1140,61.43
full,1139,61.45
schools,1138,61.47
current,1136,61.49
st,1134,61.52
remain,1134,61.54
german,1133,61.56
age,1125,61.58
york,1120,61.60
elections,1120,61.63
post,1113,61.65
return,1111,61.67
expected,1110,61.69
reform,1109,61.71
offer,1107,61.73
border,1102,61.76
corruption,1101,61.78
getting,1100,61.80
internet,1097,61.82
soon,1096,61.84
ways,1093,61.86
fact,1093,61.88
self,1091,61.90
points,1091,61.93
began,1091,61.95
effect,1088,61.97
dr,1087,61.99
together,1085,62.01
popular,1085,62.03
obama,1083,62.05
food,1083,62.07
news,1082,62.10
know,1082,62.12
hope,1082,62.14
referendum,1079,62.16
won,1075,62.18
possible,1074,62.20
late,1073,62.22
especially,1068,62.24
largest,1066,62.26
parliament,1064,62.28
fall,1059,62.30
always,1057,62.33
official,1056,62.35
fund,1049,62.37
went,1048,62.39
japan,1046,62.41
development,1043,62.43
needed,1041,62.45
line,1041,62.47
car,1039,62.49
businesses,1037,62.51
science,1036,62.53
refugees,1032,62.55
process,1032,62.57
paid,1031,62.59
turkey,1029,62.61
apr,1029,62.63
became,1028,62.65
question,1024,62.67
hold,1023,62.69
win,1021,62.71
sales,1021,62.73
congress,1020,62.75
study,1019,62.77
rule,1018,62.79
mar,1018,62.81
thought,1016,62.83
worth,1014,62.85
doing,1014,62.87
suggests,1013,62.89
information,1013,62.91
common,1013,62.93
rd,1012,62.95
places,1012,62.97
immigration,1008,62.99
army,1008,63.01
defence,1007,63.03
june,1003,63.04
himself,1002,63.06
democracy,1002,63.08
african,1002,63.10
death,1001,63.12
stop,1000,63.14
along,997,63.16
live,996,63.18
systems,995,63.20
dont,994,63.22
form,990,63.24
students,988,63.26
helped,987,63.28
build,987,63.30
indeed,986,63.32
april,981,63.34
areas,976,63.35
customers,975,63.37
comes,975,63.39
february,972,63.41
cars,972,63.43
remains,971,63.45
side,967,63.47
mostly,963,63.49
funds,961,63.51
earlier,957,63.52
sea,956,63.54
published,956,63.56
corporate,956,63.58
compared,956,63.60
class,954,63.62
started,951,63.64
laws,947,63.65
region,946,63.67
parts,937,63.69
quarter,936,63.71
increase,936,63.73
december,934,63.75
strong,933,63.76
near,932,63.78
lead,932,63.80
inflation,930,63.82
built,929,63.84
hand,925,63.85
per,922,63.87
access,922,63.89
policies,919,63.91
latest,919,63.93
xi,918,63.94
role,918,63.96
evidence,918,63.98
bill,917,64.00
nothing,915,64.02
justice,914,64.03
lot,913,64.05
success,912,64.07
liberal,911,64.09
thus,908,64.10
harder,908,64.12
hong,905,64.14
turned,903,64.16
sort,903,64.18
profits,903,64.19
peace,903,64.21
civil,903,64.23
korea,902,64.25
benefits,901,64.26
sense,899,64.28
euro,899,64.30
failed,898,64.32
bring,897,64.33
results,896,64.35
approach,896,64.37
products,895,64.39
credit,895,64.40
migrants,894,64.42
level,894,64.44
pressure,893,64.46
jan,892,64.47
syria,889,64.49
conservative,889,64.51
rising,888,64.52
property,888,64.54
particularly,886,64.56
november,886,64.58
agreement,886,64.59
either,884,64.61
model,882,64.63
fear,877,64.65
bigger,877,64.66
assets,877,64.68
provide,875,64.70
currency,875,64.71
call,875,64.73
movement,872,64.75
claims,872,64.76
easy,871,64.78
mean,870,64.80
drug,869,64.82
shows,868,64.83
allow,868,64.85
team,863,64.87
majority,862,64.88
running,860,64.90
let,860,64.92
special,859,64.93
huge,858,64.95
act,858,64.97
looks,856,64.98
goods,856,65.00
thousands,855,65.02
beyond,852,65.03
english,850,65.05
told,849,65.07
efforts,849,65.08
sell,848,65.10
supply,846,65.12
numbers,846,65.13
indicators,846,65.15
terms,843,65.17
above,843,65.18
programme,841,65.20
taxes,839,65.22
looking,839,65.23
intelligence,839,65.25
changes,838,65.26
account,837,65.28
candidate,836,65.30
killed,835,65.31
calls,832,65.33
increasingly,826,65.35
infrastructure,825,65.36
secretary,824,65.38
us,823,65.39
indian,822,65.41
here,819,65.43
fell,819,65.44
worse,815,65.46
talk,815,65.47
letters,815,65.49
area,815,65.51
sometimes,814,65.52
total,812,65.54
potential,811,65.55
got,811,65.57
create,811,65.58
nor,809,65.60
matter,808,65.62
books,808,65.63
cause,806,65.65
announced,804,65.66
paper,802,65.68
saudi,801,65.69
decision,799,65.71
spent,798,65.73
speech,795,65.74
e,795,65.76
un,794,65.77
smaller,794,65.79
republicans,794,65.80
production,794,65.82
partys,794,65.83
true,793,65.85
view,791,65.86
light,790,65.88
citizens,789,65.90
al,789,65.91
name,788,65.93
september,786,65.94
attack,782,65.96
tech,781,65.97
competition,780,65.99
loans,777,66.00
fri,775,66.02
executive,775,66.03
partly,774,66.05
deals,774,66.06
try,773,66.08
reforms,772,66.09
alone,772,66.11
modern,771,66.12
consumers,771,66.14
weeks,770,66.15
washington,770,66.17
quickly,768,66.18
boss,768,66.20
test,767,66.21
space,765,66.23
greater,765,66.24
promised,764,66.26
abroad,764,66.27
road,763,66.29
feb,762,66.30
arts,762,66.32
my,761,66.33
owned,760,66.35
july,759,66.36
simply,758,66.38
parents,757,66.39
islamic,757,66.41
elsewhere,757,66.42
language,753,66.44
record,752,66.45
living,752,66.46
suggest,751,66.48
sector,751,66.49
words,750,66.51
whom,750,66.52
believe,749,66.54
threat,748,66.55
rest,747,66.57
institute,747,66.58
thing,746,66.60
unlikely,745,66.61
tank,744,66.62
chance,744,66.64
works,743,66.65
brought,743,66.67
bonds,743,66.68
aid,743,66.70
dollar,742,66.71
stay,741,66.73
de,741,66.74
takes,740,66.76
asked,740,66.77
researchers,739,66.78
particular,739,66.80
management,739,66.81
town,737,66.83
project,736,66.84
independence,736,66.86
digital,736,66.87
crime,736,66.88
commission,736,66.90
hit,735,66.91
fight,735,66.93
annual,735,66.94
cases,733,66.96
violence,731,66.97
indias,731,66.98
fallen,731,67.00
difficult,730,67.01
gas,729,67.03
putin,728,67.04
feel,728,67.06
drugs,728,67.07
press,727,67.08
mexico,727,67.10
kind,726,67.11
allowed,726,67.13
authorities,725,67.14
boost,724,67.15
ahead,724,67.17
john,722,67.18
users,721,67.20
red,721,67.21
australia,720,67.23
october,719,67.24
meanwhile,719,67.25
david,719,67.27
fewer,718,67.28
response,715,67.30
lives,715,67.31
society,714,67.32
supporters,713,67.34
claim,713,67.35
industrial,712,67.36
talks,710,67.38
england,710,67.39
computer,709,67.41
revolution,707,67.42
street,706,67.43
regime,706,67.45
really,703,67.46
hopes,703,67.48
agency,702,67.49
worry,701,67.50
northern,700,67.52
economists,700,67.53
powerful,698,67.54
polls,697,67.56
nd,697,67.57
victory,695,67.58
coming,694,67.60
iran,693,67.61
include,693,67.62
fast,693,67.64
died,693,67.65
front,691,67.67
becoming,691,67.68
seven,689,67.69
output,689,67.71
fighting,689,67.72
network,688,67.73
raise,686,67.75
leaving,686,67.76
software,685,67.77
domestic,685,67.79
art,685,67.80
shares,684,67.81
reduce,684,67.83
google,684,67.84
deep,684,67.85
story,683,67.87
notes,683,67.88
index,682,67.89
attacks,682,67.91
lack,681,67.92
wrong,680,67.93
ground,680,67.95
scale,679,67.96
muslim,679,67.97
bit,679,67.99
staff,678,68.00
debate,678,68.01
exports,677,68.02
whole,676,68.04
thanks,676,68.05
play,674,68.06
largely,674,68.08
trading,673,68.09
tried,672,68.10
kong,671,68.12
pro,670,68.13
backed,670,68.14
race,668,68.16
argues,667,68.17
gone,665,68.18
created,665,68.19
democrats,663,68.21
ruling,660,68.22
insurance,660,68.23
gave,660,68.25
easier,660,68.26
arab,660,68.27
administration,660,68.29
sold,658,68.30
electricity,658,68.31
ideas,657,68.32
eight,657,68.34
below,657,68.35
projects,655,68.36
course,655,68.37
japanese,654,68.39
council,654,68.40
charge,653,68.41
member,652,68.43
manufacturing,651,68.44
influence,651,68.45
cheap,651,68.46
emerging,650,68.48
instance,649,68.49
economies,649,68.50
impact,648,68.51
candidates,648,68.53
grow,647,68.54
climate,647,68.55
issue,646,68.56
eventually,646,68.58
born,646,68.59
target,644,68.60
wages,643,68.62
millions,643,68.63
green,641,68.64
goes,640,68.65
mobile,639,68.66
standards,636,68.68
institutions,636,68.69
continue,635,68.70
increased,633,68.71
body,633,68.73
step,632,68.74
television,630,68.75
selling,630,68.76
rival,628,68.78
natural,628,68.79
thinks,627,68.80
following,627,68.81
culture,627,68.82
supreme,626,68.84
facebook,626,68.85
southern,625,68.86
experience,625,68.87
department,625,68.89
choice,624,68.90
seemed,623,68.91
fiscal,623,68.92
everything,623,68.93
progress,622,68.95
person,622,68.96
giant,622,68.97
spend,621,68.98
europes,618,69.00
measures,617,69.01
size,616,69.02
risks,616,69.03
communist,616,69.04
vast,615,69.06
funding,615,69.07
due,613,69.08
action,613,69.09
music,612,69.10
child,612,69.11
attention,612,69.13
industries,611,69.14
tend,610,69.15
everyone,610,69.16
agreed,610,69.17
forced,608,69.19
regional,606,69.20
leading,606,69.21
russias,605,69.22
reasons,605,69.23
benefit,605,69.25
meeting,604,69.26
critics,604,69.27
declared,603,69.28
courts,603,69.29
housing,602,69.30
employees,602,69.32
caused,600,69.33
religious,599,69.34
relations,599,69.35
launched,598,69.36
expensive,595,69.37
hundreds,594,69.39
avoid,594,69.40
changed,593,69.41
anything,593,69.42
lose,591,69.43
sign,590,69.44
protests,590,69.45
farmers,590,69.47
questions,587,69.48
period,587,69.49
stand,586,69.50
computers,586,69.51
usually,585,69.52
spread,585,69.53
round,585,69.55
hands,585,69.56
wanted,584,69.57
cuts,584,69.58
available,584,69.59
worked,582,69.60
offers,582,69.61
revenues,580,69.63
reach,580,69.64
involved,580,69.65
giving,580,69.66
sent,579,69.67
presidents,579,69.68
paris,579,69.69
beijing,578,69.70
saw,577,69.72
game,577,69.73
eastern,577,69.74
barack,577,69.75
strategy,576,69.76
peoples,576,69.77
canada,575,69.78
august,575,69.79
improve,574,69.81
require,573,69.82
raised,572,69.83
ministers,572,69.84
italy,572,69.85
trouble,571,69.86
promises,571,69.87
performance,569,69.88
israel,569,69.90
independent,569,69.91
freedom,569,69.92
explains,569,69.93
deficit,569,69.94
traditional,568,69.95
reckons,568,69.96
mass,568,69.97
board,568,69.98
rivals,566,69.99
