mrs,没有该单词的解释 
keep,v.保持，保留，防止 
future,n.将来，前途 
private,adj.私人的，秘密的 
health,n.健康(状况) 
months,没有该单词的解释 
third,num.第三，三分之一 
worlds,没有该单词的解释 
services,没有该单词的解释 
enough,adj.,adv.足够(的) 
crisis,n.危险，危险期 
women,没有该单词的解释 
countrys,没有该单词的解释 
trumps,没有该单词的解释 
place,n.地方，位置 v.放置 
children,没有该单词的解释 
problem,n.课题，难题，问题 
known,没有该单词的解释 
different,adj.不同的，各种 
month,n.月份 
britains,没有该单词的解释 
find,v.寻找，找到，发现 
bn,没有该单词的解释 
case,n.事实，案例，箱子 
term,n.期限，学期，术语 
russia,n.俄罗斯，俄语 
control,v.,n.控制，管理 
adj,没有该单词的解释 
ever,adv.曾经，总是，究竟 
days,没有该单词的解释 
large,adj.大的，巨大的 
away,adv.去，远离，在远处 
based,没有该单词的解释 
early,adj.早的，初期的 
london,没有该单词的解释 
